symbol,holding_days,trades,avg_return_pct,median_return_pct,total_return_pct,best_return_pct,worst_return_pct,win_rate_pct,stop_rate_pct,expectancy_rank
ASHOKLEY,5,98,0.815,-0.022,79.883,10.665,-7.2,48.98,35.714,3.952
CGPOWER,5,68,0.958,0.184,65.163,11.87,-5.676,50.0,32.353,3.951
ASTRAL,10,40,1.452,-0.508,58.067,10.278,-4.417,42.5,57.5,3.902
HINDALCO,5,161,0.584,0.43,94.037,8.395,-7.2,52.174,37.888,3.867
ADANIENT,5,39,1.19,0.18,46.428,9.166,-4.1,51.282,28.205,3.812
BHEL,10,98,1.296,-1.7,127.0,19.151,-7.2,29.592,69.388,3.796
ZYDUSLIFE,15,37,1.671,-1.352,61.809,15.885,-4.962,35.135,43.243,3.57
MCX,3,79,0.838,-0.182,66.165,9.467,-6.916,45.57,34.177,3.392
CGPOWER,10,63,0.923,-1.403,58.136,15.335,-7.077,44.444,49.206,3.255
HINDALCO,3,161,0.492,0.018,79.203,6.035,-7.2,50.932,30.435,3.179
BSE,3,63,0.674,0.371,42.484,9.884,-7.2,57.143,33.333,3.059
ASTRAL,15,40,1.465,-0.508,58.585,13.366,-4.417,32.5,57.5,3.011
ADANIENT,3,41,0.996,-0.022,40.851,9.36,-3.07,46.341,26.829,2.956
UNIONBANK,5,95,0.576,0.068,54.704,8.32,-7.2,52.632,25.263,2.954
YESBANK,10,62,0.957,-0.287,59.351,10.479,-6.072,37.097,48.387,2.796
YESBANK,5,66,0.841,-0.292,55.502,9.276,-5.159,40.909,42.424,2.795
IIFL,15,44,1.234,-0.959,54.314,13.912,-6.503,34.091,56.818,2.791
ABB,10,45,1.238,-0.873,55.707,17.29,-6.228,33.333,57.778,2.768
LTIM,10,64,0.684,0.1,43.787,6.756,-4.618,50.0,43.75,2.737
ABB,5,45,1.053,-0.517,47.388,10.383,-3.764,37.778,48.889,2.669
ZYDUSLIFE,5,43,0.751,0.2,32.288,7.428,-3.856,51.163,23.256,2.519
CGPOWER,3,69,0.59,0.135,40.738,6.646,-5.676,50.725,27.536,2.488
